原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,6.867410662695462,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.524793787444857,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.680576692708723,5,5,5,8
茶渣,无,明确可追溯,优,否,,1,1,中,高,食品支线,茶渣,优,7.407463376454903,5,5,2,5
花生壳/板栗壳,严重,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.422110969191081,5,5,5,8
茶渣,轻度,明确可追溯,差,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.183923241425906,5,5,8,5
花生壳/板栗壳,无,基本可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.585737042702936,5,5,5,8
茶渣,严重,明确可追溯,良,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.44888779659830114,5,5,5,8
花生壳/板栗壳,无,明确可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,3.152728239938399,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.443336012066032,5,5,8,8
中药残余废弃物,无,来源不明,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.4681206557955075,5,5,5,8
茶渣,轻度,明确可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,4.86746985226231,5,5,5,8
茶渣,无,基本可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,5.075144344352022,5,5,5,8
花生壳/板栗壳,轻度,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.634854407596587,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.342360412601366,8,8,8,5
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.808829843469563,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,中高,食品支线,葡萄籽,优/良,0.42167422782555286,5,5,5,8
豆制品/粮食发酵副产物,轻度,来源不明,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.728263112811408,8,8,8,5
中药残余废弃物,严重,来源不明,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.2315836872066689,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.452130069245872,5,5,8,5
中药残余废弃物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.7173263907476257,8,8,8,5
花生壳/板栗壳,轻度,基本可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
豆制品/粮食发酵副产物,轻度,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.507622094072611,8,8,8,5
中药残余废弃物,轻度,来源不明,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.017436354505909,5,5,8,8
花生壳/板栗壳,无,明确可追溯,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.110494679980782,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.322264853263059,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.486936677574721,5,5,5,8
中药残余废弃物,轻度,基本可追溯,差,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.062301240341318,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,高,中高,食品支线,葡萄籽,优/良,4.910161562580941,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.504010016149307,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0,5,5,5,5
花生壳/板栗壳,严重,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.962754963329068,5,5,5,8
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,2.1291826458334913,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.122000596269897,8,8,8,5
花生壳/板栗壳,无,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.546323759886862,8,8,8,5
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.627063763026121,8,8,8,5
茶渣,严重,基本可追溯,良,是,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.199093336039793,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,0,0,高,中,材料主线,茶渣,优/良,3.233766890092385,5,5,5,8
茶渣,严重,来源不明,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.7756071404451035,8,8,8,5
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.861185764709642,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.030014794799466,5,5,8,8
花生壳/板栗壳,轻度,明确可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.347165281329258,8,8,8,5
茶渣,轻度,来源不明,差,否,,1,0,高,中,材料主线,茶渣,优/良,7.420446006458704,5,5,5,8
茶渣,轻度,明确可追溯,差,是,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.3784819380184117,5,5,5,5
茶渣,严重,基本可追溯,优,否,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.743213440277028,8,8,8,5
茶渣,轻度,基本可追溯,差,否,,1,1,中,低,无害化兜底,茶渣,差,9.114422768185982,8,8,8,5
中药残余废弃物,无,明确可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.272588479062056,8,8,8,5
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.8031687825410743,8,8,8,5
豆制品/粮食发酵副产物,轻度,来源不明,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.372848063714422,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.128536059806145,5,5,5,8
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.73328867959004,5,5,5,8
茶渣,无,基本可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.936393026660542,5,5,5,8
中药残余废弃物,轻度,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.040362575299227,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,否,0,1,高,低,材料主线,茶渣,优/良/差,7.190351526634959,5,5,8,8
茶渣,轻度,明确可追溯,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.556870317560072,5,5,8,8
中药残余废弃物,轻度,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.947631156500009,5,5,8,8
茶渣,严重,来源不明,优,是,,1,1,高,中,材料主线,茶渣,优/良,9.677509589212164,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.741713577837055,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.314038878881446,5,5,5,8
茶渣,无,明确可追溯,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.919508233550175,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.9531108302619116,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.964808202787249,5,5,8,5
花生壳/板栗壳,无,来源不明,优,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.566409443793146,5,5,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.681943304297752,5,5,5,8
豆制品/粮食发酵副产物,无,来源不明,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.83290784847545,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.774313241209923,8,8,8,5
花生壳/板栗壳,无,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.433633698046174,8,8,8,5
花生壳/板栗壳,轻度,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.633413411578289,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.493820263027916,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,9.144661858180696,5,5,5,8
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.798809390505275,5,5,5,8
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.813065435243001,5,5,5,8
花生壳/板栗壳,无,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.004632761559682,5,5,8,8
茶渣,无,基本可追溯,差,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.714614474899415,5,5,8,5
茶渣,轻度,来源不明,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,5.242837332258362,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.533285402623085,5,5,8,5
茶渣,无,基本可追溯,差,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.507437649453214,5,5,8,8
茶渣,无,明确可追溯,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.431677612328565,5,5,5,8
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.6930913372605705,5,5,8,5
中药残余废弃物,轻度,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.471128459361692,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.1239564067556005,5,5,5,8
茶渣,无,来源不明,良,否,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.422370320506083,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.5952588440982396,5,5,5,5
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,1,中,低,无害化兜底,茶渣,差,4.696084824288898,8,8,8,5
茶渣,轻度,来源不明,差,是,,1,0,高,中,材料主线,茶渣,优/良,7.119571418690729,5,5,5,8
茶渣,无,来源不明,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.659024817394457,5,5,5,8
茶渣,严重,明确可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.443784934615714,5,5,8,8
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.076755752633168,5,5,8,5
茶渣,轻度,来源不明,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,4.7663883543013865,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,否,0,0,中,低,无害化兜底,茶渣,差,1.9501554591768053,8,8,8,5
中药残余废弃物,无,明确可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.576979123042971,5,5,5,8
豆制品/粮食发酵副产物,轻度,来源不明,差,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.335696134307907,5,5,5,8
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.635084981903606,5,5,8,8
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.1658983099777815,5,5,8,5
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.338634094614553,5,5,8,8
豆制品/粮食发酵副产物,无,基本可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.957029513320874,8,8,8,5
茶渣,轻度,基本可追溯,差,是,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.706119560824014,5,5,5,8
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.043854175968606,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.931590980140834,5,5,5,8
茶渣,严重,明确可追溯,良,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.994718541330898,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,7.031045920000044,5,5,5,8
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.752818240581985,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.5604890690313074,8,8,8,5
茶渣,无,基本可追溯,差,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.759236433500755,5,5,5,8
茶渣,无,来源不明,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.942682148790189,5,5,5,8
茶渣,轻度,来源不明,良,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.757621675911924,8,8,8,5
中药残余废弃物,无,来源不明,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.557172845163076,5,5,5,8
花生壳/板栗壳,无,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.0350599646064236,8,8,8,5
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.3289564681520085,5,5,5,8
中药残余废弃物,无,来源不明,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.335818295212033,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.731715459576845,5,5,8,8
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.762129437368719,5,5,5,8
中药残余废弃物,轻度,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.9484250499842588,5,5,5,8
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.175122696187639,8,8,8,5
茶渣,严重,来源不明,良,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.56870597383338,5,5,8,8
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.193034745877039,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,高,中,材料主线,茶渣,优/良,5.735618457360375,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.618717809223487,5,5,5,8
茶渣,轻度,明确可追溯,良,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.736917865649582,5,5,8,5
茶渣,严重,明确可追溯,良,是,,1,0,中,高,食品支线,茶渣,优,0.04956132552809889,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.3388879329306995,5,5,8,8
花生壳/板栗壳,无,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.500989235996953,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,0,高,中高,食品支线,葡萄籽,优/良,1.7863519328100839,5,5,5,8
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.40567412961823,5,5,8,8
茶渣,轻度,基本可追溯,差,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.712901321774883,5,5,8,5
茶渣,严重,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄籽,优/良,0.17018445499193746,5,5,5,8
中药残余废弃物,无,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.6701922710148915,5,5,8,8
中药残余废弃物,严重,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.7691413740242865,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.271874800260528,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.958512297685031,5,5,8,8
中药残余废弃物,无,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,6.591215866936256,5,5,8,8
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.265626074872231,8,8,8,5
中药残余废弃物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.1926016461169837,8,8,8,5
茶渣,无,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄籽,优/良,1.7562360992747572,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.602342553321778,5,5,8,5
中药残余废弃物,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.979565930496702,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,0.35311240523582055,5,5,2,5
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.10667664019972956,5,5,5,5
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.232493844806005,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,中,材料主线,茶渣,优/良,5.6528933497322145,5,5,5,8
中药残余废弃物,无,来源不明,良,,,0,0,中,高,食品支线,茶渣,优,0.3371919562662967,5,5,2,5
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.351449185208288,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.551793378550275,5,5,8,5
豆制品/粮食发酵副产物,轻度,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.799764464662159,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.9383948406233875,5,5,8,5
花生壳/板栗壳,无,来源不明,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.168301429465475,5,5,5,5
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.3251125420263135,5,5,8,8
茶渣,轻度,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.10607400422934,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.776265872938553,5,5,8,8
茶渣,轻度,基本可追溯,良,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.97666733094629,8,8,8,5
茶渣,严重,明确可追溯,差,否,,1,0,高,中,材料主线,茶渣,优/良,7.015144771233744,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.846632366200301,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.2677689821048554,5,5,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,无,来源不明,优,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.753391976358312,5,5,8,5
花生壳/板栗壳,无,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.086973910742906,5,5,8,5
中药残余废弃物,严重,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.560537725908352,5,5,8,8
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.3031418542323374,5,5,5,8
中药残余废弃物,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,2.05425500103659,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.079290386816711,5,5,5,8
茶渣,轻度,来源不明,优,是,,1,1,高,低,材料主线,茶渣,优/良/差,11.163849481008366,5,5,8,8
豆制品/粮食发酵副产物,无,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.697688126656846,8,8,8,5
花生壳/板栗壳,严重,明确可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.609687441766887,8,8,8,5
茶渣,严重,来源不明,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.795919390531979,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.353856955794952,8,8,8,5
花生壳/板栗壳,严重,明确可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.876975961632053,8,8,8,5
